Brand,Model,Year,Status,Mileage,Dealer,Price
BMW,X5,2024,New,,BMW of Fairfax,76245
BMW,X3,2023,New,,BMW of Fairfax,54370
BMW,X3,2023,New,,BMW of Fairfax,51545
Pontiac,GT,2004,Used,38265,Heritage Motor Company,18900
Land Rover,Defender,2023,New,,Jaguar Land Rover Tysons Corner,99505
Jaguar,F-TYPE,2024,New,,Jaguar Land Rover Tysons Corner,89028
Land Rover,Defender,2023,New,,Jaguar Land Rover Tysons Corner,102780
Land Rover,Discovery,2023,New,,Jaguar Land Rover Tysons Corner,71530
Jaguar,F-TYPE,2024,New,,Jaguar Land Rover Tysons Corner,119173
Land Rover,Defender,2023,New,,Jaguar Land Rover Tysons Corner,122830
Mercedes,S-Class,2023,New,,Mercedes-Benz of Tysons Corner,140430
Mercedes,EQE,2023,New,,Mercedes-Benz of Tysons Corner,111540
Mercedes,500,2023,New,,Mercedes-Benz of Tysons Corner,105235
Mercedes,EQE,2023,New,,Mercedes-Benz of Tysons Corner,115330
Mercedes,CLA,2023,New,,Mercedes-Benz of Tysons Corner,58180
Mercedes,GLE,2024,New,,Mercedes-Benz of Tysons Corner,70475
Mercedes,CLA,2023,New,,Mercedes-Benz of Tysons Corner,59870
Mercedes,GLC,2023,New,,Mercedes-Benz of Tysons Corner,58915
Mercedes,500,2023,New,,Mercedes-Benz of Tysons Corner,101500
Mercedes,SL 43,2023,New,,Mercedes-Benz of Tysons Corner,114685
Mercedes,S-Class,2023,New,,Mercedes-Benz of Tysons Corner,134985
Mercedes,CL,2023,New,,Mercedes-Benz of Tysons Corner,102775
Mercedes,EQE,2023,New,,Mercedes-Benz of Tysons Corner,108490
Mercedes,GLC,2023,New,,Mercedes-Benz of Tysons Corner,61385
Dodge,Durango,2023,New,,Koons Tysons Chrysler Dodge Jeep RAM,129000
RAM,1500,2024,New,,Koons Tysons Chrysler Dodge Jeep RAM,50371
RAM,1500,2024,New,,Koons Tysons Chrysler Dodge Jeep RAM,164400
Chrysler,300,2023,New,,Koons Tysons Chrysler Dodge Jeep RAM,61595
Dodge,Durango,2023,New,,Koons Tysons Chrysler Dodge Jeep RAM,129000
Chrysler,300,2023,New,,Koons Tysons Chrysler Dodge Jeep RAM,61595
RAM,1500,2024,New,,Koons Tysons Chrysler Dodge Jeep RAM,71070
Chrysler,300,2023,New,,Koons Tysons Chrysler Dodge Jeep RAM,61595
Jeep,Wrangler,2023,New,,Gerry Raymond Chrysler Dodge Jeep Ram,57030
Jeep,Wrangler,2023,New,,Gerry Raymond Chrysler Dodge Jeep Ram,88385
Jeep,Wrangler,2023,New,,Gerry Raymond Chrysler Dodge Jeep Ram,72290
Jeep,Wrangler,2024,New,,Gerry Raymond Chrysler Dodge Jeep Ram,55980
Volkswagen,Arteon,2023,New,,Stohlman Volkswagen Subaru,45964
Chevrolet,Camaro,2024,New,,Koons of Tysons Chevrolet Buick GMC,96130
Bentley,Flying Spur,2023,New,,Exclusive Automotive Group,338200
Bentley,Bentayga,2023,New,,Exclusive Automotive Group,300790
Bentley,Flying Spur,2023,New,,Exclusive Automotive Group,310990
Bentley,Flying Spur,2023,New,,Exclusive Automotive Group,318370
Bentley,Flying Spur,2023,New,,Exclusive Automotive Group,303695
Toyota,4Runner,2022,Used,49514,Ford of La Plata,39995
Lexus,RX,2024,New,,Priority Lexus of Virginia Beach,78505
Volkswagen,Passat,2005,Used,85684,Audi Tysons Corner,7695
Dodge,Charger,2015,Used,120572,Audi Tysons Corner,14695
Audi,A6,2023,New,,Audi Tysons Corner,68965
Audi,A6,2023,New,,Audi Tysons Corner,67340
Porsche,Macan,2020,Used,27504,Audi Tysons Corner,49400
Audi,Q7,2021,Certified,29629,Audi Tysons Corner,42700
Maserati,GranTurismo,2024,New,,Alfa Romeo of Tysons and Maserati of Tysons,234115
Maserati,GranTurismo,2024,New,,Alfa Romeo of Tysons and Maserati of Tysons,199765
Honda,Passport,2023,New,,Bill Page Honda,46560
Toyota,Tacoma,2023,New,,Bill Page Toyota,36617
Kia,Carnival,2022,Used,48291,Hamilton Nissan,29994
BMW,X5,2024,New,,BMW of Alexandria,74245
BMW,i7,2023,New,,BMW of Alexandria,129645
GMC,Sierra,2022,New,,Stuckey GMC,65997
RAM,2500,2023,New,,Fitzgerald Chrysler Dodge Jeep RAM Hagerstown,74515
Jeep,Wrangler,2024,New,,Fitzgerald Chrysler Dodge Jeep RAM Hagerstown,59800
Jeep,Grand Wagoneer,2023,New,,Fitzgerald Chrysler Dodge Jeep RAM Hagerstown,109306
Volkswagen,Jetta,2024,New,,Sheehy Volkswagen of Hagerstown,30441
Volkswagen,Atlas,2023,New,,Sheehy Volkswagen of Hagerstown,41032
Volkswagen,Atlas,2023,New,,Sheehy Volkswagen of Hagerstown,41032
GMC,Yukon,2023,New,,Sheehy Hagerstown,92365
GMC,Canyon,2023,New,,Sheehy Hagerstown,49924
GMC,Yukon,2023,New,,Sheehy Hagerstown,102745
Mercedes,EQE,2023,New,,Mercedes-Benz of Alexandria,119720
Mercedes,EQE,2023,New,,Mercedes-Benz of Alexandria,111440
Mazda,CX-5,2023,New,,Safford Brown Mazda Alexandria,39530
Ford,Expedition,2019,Used,57817,Koons of Falls Church Ford,35500
Ford,Bronco,2023,New,,Koons of Falls Church Ford,68875
Ford,Bronco,2023,New,,Koons of Falls Church Ford,113135
Maserati,Ghibli,2015,Used,99340,Prime Motors LLC,19595
Mercedes,E-Class,2016,Used,66804,Prime Motors LLC,18895
Tesla,Model S,2013,Used,87631,Prime Motors LLC,24995
Toyota,Highlander,2018,Used,48869,Prime Motors LLC,27595
Volvo,XC60,2023,New,,Lindsay Volvo Cars,67140
Toyota,Tundra,2014,Used,65048,Koons Arlington Toyota,31000
Toyota,RAV4,2023,New,,Koons Arlington Toyota,38213
Maserati,Levante,2017,Used,68257,WBM of Arlington,28495
Volkswagen,Atlas,2023,New,,Alexandria VW,42720
Volkswagen,Atlas,2023,New,,Alexandria VW,40850
Volkswagen,Atlas,2023,New,,Alexandria VW,41100
Toyota,Highlander,2023,New,,Alexandria Toyota,46045
Cadillac,CT5,2024,New,,Fitzgerald Cadillac Frederick,69345
Cadillac,LYRIQ,2024,New,,Fitzgerald Cadillac Frederick,64415
Cadillac,Escalade,2023,New,,Fitzgerald Cadillac Frederick,97470
Cadillac,CT5,2024,New,,Fitzgerald Cadillac Frederick,64080
Audi,A6,2023,New,,Ourisman Volvo Audi of Frederick,62690
Nissan,Leaf S,2024,New,,Criswell Nissan,32485
Maserati,Quattroporte,2023,New,,Criswell Maserati Alfa Romeo,166560
Alfa Romeo,Stelvio,2023,New,,Criswell Maserati Alfa Romeo,84997
Nissan,Frontier,2023,New,,Jim Coleman Nissan,46473
Toyota,RAV4,2023,Used,5434,Jim Coleman Toyota,52997
Honda,Odyssey,2018,Used,63513,Jim Coleman Toyota,25797
Infiniti,Q60,2022,New,,Jim Coleman INFINITI,52270
Infiniti,Q60,2022,New,,Jim Coleman INFINITI,54332
Nissan,Frontier,2023,New,,Jim Coleman Nissan,46763
Chevrolet,Traverse,2023,New,,Criswell Chevrolet Buick GMC of Gaithersburg,49997
GMC,Sierra,2024,New,,Criswell Chevrolet Buick GMC of Gaithersburg,56244
GMC,Sierra,2024,New,,Criswell Chevrolet Buick GMC of Gaithersburg,55055
Mercedes,AMG GT,2018,Certified,12769,Euro Motorcars Bethesda,84881
Mercedes,S-Class,2023,New,,Euro Motorcars Bethesda,130115
Dodge,Durango,2020,Used,70206,Euro Motorcars Bethesda,32881
Jeep,Grand Cherokee,2023,Used,2940,Euro Motorcars Bethesda,43481
Mercedes,S-Class,2022,Used,15601,Euro Motorcars Bethesda,99881
Mercedes,GLS 450,2022,Certified,12173,Euro Motorcars Bethesda,78881
Honda,Odyssey,2019,Used,30324,Euro Motorcars Bethesda,29881
Volkswagen,Jetta,2024,New,,Ourisman Subaru VW of Waldorf,29535
Audi,A6,2023,New,,Audi Bethesda,72840
Audi,e-tron,2024,New,,Audi Bethesda,84820
Audi,e-tron,2024,New,,Audi Bethesda,84750
Volkswagen,Golf,2019,Used,45191,King Volkswagen,23977
Toyota,Tundra,2023,New,,Fitzgerald Toyota Gaithersburg,53873
Ford,Bronco,2023,New,,Sheehy Ford Lincoln of Gaithersburg,65745
Mazda,CX-9,2024,New,,Rosenthal Gaithersburg Mazda,56995
Mazda,CX-9,2024,New,,Rosenthal Gaithersburg Mazda,58325
Mazda,CX-9,2024,New,,Rosenthal Gaithersburg Mazda,58325
Genesis,GV80,2024,New,,Genesis of Gaithersburg,77775
Genesis,G70,2023,New,,Genesis of Gaithersburg,54561
Acura,TLX,2023,New,,Rosenthal Acura,57545
Mazda,CX-5,2023,New,,Ourisman Mazda of Rockville,33712
Mazda,CX-5,2023,New,,Ourisman Mazda of Rockville,42158
Mazda,CX-5,2023,New,,Ourisman Mazda of Rockville,40795
Mazda,CX-5,2023,New,,Ourisman Mazda of Rockville,40580
Mazda,CX-5,2024,New,,Ourisman Mazda of Rockville,38994
Mazda,CX-5,2023,New,,Ourisman Mazda of Rockville,43157
Chevrolet,Blazer,2023,New,,Ourisman Chevrolet of Rockville - Curbside pickup and home delivery available,44810
Volvo,V90,2021,Certified,27342,DARCARS Volvo Cars,47580
Volvo,XC60,2023,Certified,7043,DARCARS Volvo Cars,43380
Volvo,V60,2021,Certified,21870,DARCARS Volvo Cars,56980
Volvo,XC90,2022,Certified,45689,DARCARS Volvo Cars,39980
Volvo,XC60,2023,Used,8348,DARCARS Volvo Cars,43980
Volvo,XC90,2020,Certified,48645,DARCARS Volvo Cars,34380
Lexus,RC,2023,New,,Ourisman Lexus,55215
Lexus,ES,2024,New,,Ourisman Lexus,55620
Lexus,ES,2024,New,,Ourisman Lexus,47400
Lexus,GX,2023,Used,5849,Ourisman Lexus,63788
Lexus,LX,2020,Used,45252,Ourisman Lexus,69799
Audi,Q8,2023,New,,Audi Rockville,81030
Audi,S5,2023,New,,Audi Rockville,79275
Audi,A6,2024,New,,Audi Rockville,67640
BMW,X5,2024,New,,BMW of Rockville,79095
BMW,530 i,2024,New,,BMW of Rockville,66145
Jaguar,F-PACE,2023,New,,Jaguar Land Rover Bethesda,97240
Land Rover,Range Rover,2024,New,,Jaguar Land Rover Bethesda,114875
Land Rover,Defender,2023,New,,Jaguar Land Rover Bethesda,94560
Genesis,G70,2023,New,,Genesis of Rockville,51350
Genesis,GV70,2024,New,,Genesis of Rockville,57845
Genesis,GV60,2023,New,,Genesis of Rockville,67990
Genesis,GV70,2024,New,,Genesis of Rockville,57942
Genesis,GV80,2024,New,,Genesis of Rockville,76103
MINI,Cooper,2021,Used,9292,Universal Auto Group,26715
Chrysler,300,2023,New,,DARCARS Chrysler Dodge Jeep Ram of Marlow Heights,51495
BMW,X5,2020,Certified,37114,Passport BMW,44495
BMW,Coupe,2023,Used,8349,Passport BMW,87295
Lexus,GX,2019,Used,59502,Passport BMW,34495
BMW,X7,2024,New,,Passport BMW,113995
BMW,X3,2021,Certified,36429,Passport BMW,45195
BMW,X5,2022,Used,31546,Passport BMW,55995
Honda,Accord,2011,Used,121571,Bayside Pre-Owned Hollywood,9995
Toyota,Highlander,2020,Used,45474,Bayside Pre-Owned Hollywood,29500
Ford,Transit,2023,New,,Bill Marsh Ford Gaylord,58320
Nissan,Altima,2024,New,,Fitzgerald Nissan Chambersburg,27425
Toyota,4Runner,2023,New,,Fitzgerald Toyota Chambersburg,51218
Toyota,RAV4,2023,New,,Fitzgerald Toyota Chambersburg,40854
Scion,FR-S,2013,Used,87963,Kyner's Auto Sales Inc.,16574
Lincoln,Aviator,2023,New,,East West Lincoln,93600
Lincoln,Aviator,2023,New,,East West Lincoln,80675
Lincoln,Navigator,2023,New,,East West Lincoln,105525
Lincoln,Continental,2017,Used,57054,East West Lincoln,34999
Lexus,IS,2020,Used,61353,IAD Auto,33840
Chrysler,300,2023,New,,DARCARS Chrysler Dodge Jeep Ram of New Carrollton,49864
Chrysler,300,2023,New,,DARCARS Chrysler Dodge Jeep Ram of New Carrollton,40237
Volvo,XC60,2023,New,,Herb Gordon Volvo Silver Spring,59569
Volvo,S60,2024,New,,Herb Gordon Volvo Silver Spring,45619
Jeep,Wagoneer,2023,New,,Century Chrysler Dodge Jeep RAM,80926
RAM,1500,2023,New,,Century Chrysler Dodge Jeep RAM,62968
Jeep,Gladiator,2023,New,,Century Chrysler Dodge Jeep RAM,43419
RAM,2500,2023,New,,Century Chrysler Dodge Jeep RAM,60946
RAM,2500,2023,New,,Century Chrysler Dodge Jeep RAM,83106
Jeep,Gladiator,2023,New,,Century Chrysler Dodge Jeep RAM,49513
RAM,1500,2024,New,,Century Chrysler Dodge Jeep RAM,52594
Jeep,Wagoneer,2023,New,,Century Chrysler Dodge Jeep RAM,82503
RAM,CLA,2023,New,,Century Chrysler Dodge Jeep RAM,38683
Jeep,Grand Cherokee,2023,New,,Century Chrysler Dodge Jeep RAM,55338
RAM,2500,2023,New,,Century Chrysler Dodge Jeep RAM,84498
Mercedes,GLS 450,2019,Used,29369,Sport Chevrolet Cadillac,45500
Chevrolet,Silverado,2021,Used,25859,Sport Chevrolet Cadillac,27300
Chevrolet,Tahoe,2021,Certified,36381,Sport Chevrolet Cadillac,57000
BMW,Coupe,2021,Used,42977,Sport Chevrolet Cadillac,27400
Cadillac,CT5,2021,Certified,38602,Sport Chevrolet Cadillac,37000
Ford,F-250,2020,Used,44500,Sport Chevrolet Cadillac,51000
GMC,Sierra,2020,Used,51783,Sport Chevrolet Cadillac,35700
Honda,Pilot,2022,Certified,14394,Sport Honda,40000
Ford,F-150,2018,Certified,57839,Century Ford,51000
Nissan,Pathfinder,2023,New,,Jim Coleman Nissan of Silver Spring,44792
Toyota,Highlander,2020,Certified,75963,Bayside Chevrolet Toyota,28275
Lexus,GS 350,2015,Used,78355,Bayside Chevrolet Toyota,21720
Ford,Bronco,2023,New,,Upper Marlboro Ford,73740
Ford,F-150,2023,New,,Upper Marlboro Ford,62710
Ford,Bronco,2023,New,,Upper Marlboro Ford,63640
Land Rover,Defender,2023,New,,Jaguar Land Rover of West Columbia,96640
Land Rover,Discovery,2023,New,,Jaguar Land Rover of West Columbia,80790
RAM,1500,2023,New,,Ourisman Chrysler Dodge Jeep Ram - Curbside pickup and home delivery available,53315
Honda,Odyssey,2016,Used,92653,Ourisman Chrysler Dodge Jeep Ram - Curbside pickup and home delivery available,19997
RAM,1500,2022,New,,Ourisman Chrysler Dodge Jeep Ram - Curbside pickup and home delivery available,49816
Dodge,Challenger,2023,New,,Ourisman Chrysler Dodge Jeep Ram - Curbside pickup and home delivery available,104049
RAM,1500,2023,New,,Ourisman Chrysler Dodge Jeep Ram - Curbside pickup and home delivery available,40029
RAM,1500,2023,New,,Ourisman Chrysler Dodge Jeep Ram - Curbside pickup and home delivery available,56561
GMC,Yukon,2023,New,,Koons Clarksville Chevy Buick GMC,94315
GMC,Yukon,2023,New,,Koons Clarksville Chevy Buick GMC,96375
GMC,Yukon,2023,New,,Koons Clarksville Chevy Buick GMC,99410
Audi,Q3,2018,Used,67608,Koons Clarksville Chevy Buick GMC,19000
Kia,GT,2023,New,,King Kia Of Laurel,57225
Kia,Telluride,2024,New,,King Kia Of Laurel,48740
Kia,Sportage,2024,New,,King Kia Of Laurel,29790
Kia,Sportage,2023,New,,King Kia Of Laurel,35585
Kia,Sportage,2024,New,,King Kia Of Laurel,38365
Jeep,Wrangler,2023,New,,Shively Motors Dodge Chrysler Jeep Ram of Shippensburg,47966
BMW,Coupe,2014,Used,44783,AutoNation Chevrolet Laurel,37567
Jeep,Cherokee,2022,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,34835
Chrysler,300,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,34985
Chrysler,300,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,43475
Jeep,Cherokee,2022,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,34835
RAM,2500,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,78980
Dodge,Charger,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,52715
Jeep,Grand Cherokee,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,53285
RAM,2500,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,85410
Dodge,Durango,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,66625
Chrysler,300,2023,New,,Fred Frederick Chrysler Jeep Dodge RAM Laurel,44670
RAM,1500,2022,New,,Ourisman Chrysler Dodge Jeep Ram of Bowie - Curbside Pick Up and Home Delivery Available,67400
Jeep,Gladiator,2023,New,,Ourisman Chrysler Dodge Jeep Ram of Bowie - Curbside Pick Up and Home Delivery Available,35070
Jeep,Gladiator,2023,New,,Ourisman Chrysler Dodge Jeep Ram of Bowie - Curbside Pick Up and Home Delivery Available,34980
Acura,MDX,2020,Used,59438,Ourisman Hyundai,29747
Hyundai,Palisade,2020,Certified,37122,Ourisman Hyundai,32478
MINI,Cooper,2013,Used,123936,Ourisman Mazda,9999
Nissan,Titan,2023,New,,Ourisman Nissan,60791
Chevrolet,Silverado,2024,New,,Nereson Chevrolet,69945
Chevrolet,Silverado,2023,New,,Nereson Chevrolet,59160
Chevrolet,Silverado,2023,New,,Nereson Chevrolet,60960
Chevrolet,Silverado,2023,New,,Nereson Chevrolet,58845
Chevrolet,Silverado,2023,New,,Nereson Chevrolet,59435
Ford,F-250,2023,New,,Webber Family Motors,69770
Chevrolet,Silverado,2016,Used,117986,Priceless of Odenton,26999
Infiniti,QX80,2023,New,,JBA INFINITI,69995
Infiniti,QX60,2023,New,,JBA INFINITI,66175
Honda,Passport,2023,New,,Jamestown Honda,47935
BMW,3,2008,Used,160200,Bumble Auto,8453
Toyota,Tundra,2023,New,,Koons Toyota Of Westminster,65863
Toyota,GR86,2023,New,,Koons Toyota Of Westminster,38047
Toyota,Tundra,2023,New,,Koons Toyota Of Westminster,60934
Toyota,Tundra,2023,New,,Koons Toyota Of Westminster,67398
Toyota,Tundra,2023,New,,Koons Toyota Of Westminster,44642
Toyota,Camry,2024,New,,Koons Toyota Of Westminster,39102
Toyota,Camry,2024,New,,Koons Toyota Of Westminster,35162
Chevrolet,Suburban,2017,Used,60688,Renn Kirby Chevrolet Buick,39964
Ford,Maverick,2023,New,,Luther Family Ford,28965
Dodge,Durango,2023,New,,Len Stoler Chrysler Dodge Jeep RAM,117595
Jeep,Wagoneer,2023,New,,Len Stoler Chrysler Dodge Jeep RAM,86363
Mercedes,GLE,2024,New,,Mercedes-Benz of Catonsville,85935
Mazda,CX-5,2024,New,,Heritage Mazda Catonsville,39570
Mazda,CX-5,2024,New,,Heritage Mazda Catonsville,40160
Volkswagen,Golf,2021,Used,60395,Exclusive Motor Cars,17900
RAM,1500,2023,New,,Antwerpen Chrysler Jeep Dodge Ram,60017
Jeep,Wrangler,2023,New,,Antwerpen Chrysler Jeep Dodge Ram,56489
Jeep,Wrangler,2023,New,,Antwerpen Chrysler Jeep Dodge Ram,41001
RAM,1500,2023,New,,Antwerpen Chrysler Jeep Dodge Ram,66355
Jeep,Grand Cherokee,2023,New,,Antwerpen Chrysler Jeep Dodge Ram,49483
Ford,F-150,2023,New,,Preston Ford West,49344
Ford,Mustang,2023,New,,Preston Ford West,49295
Ford,F-250,2023,New,,Preston Ford West,43750
Ford,Bronco,2023,New,,Preston Ford West,52035
Ford,F-150,2023,New,,Preston Ford West,60699
Ford,F-250,2023,New,,Preston Ford West,67585
Ford,Bronco,2023,New,,Preston Ford West,59520
Ford,Mustang,2023,New,,Preston Ford West,58020
Ford,F-350,2023,New,,Preston Ford West,59180
Ford,F-150,2023,New,,Preston Ford West,
Ford,F-350,2023,New,,Preston Ford West,59080
Ford,F-250,2023,New,,Preston Ford West,90785
Ford,F-250,2015,Used,73204,Carhaven,23999
Ford,Police Interceptor,2017,Used,71715,Carhaven,12999
Ford,Police Interceptor,2017,Used,34656,Carhaven,15999
Toyota,Tacoma,2014,Used,12004,Carhaven,22999
Chevrolet,Silverado,2015,Used,33249,Carhaven,27999
Ford,Police Interceptor,2018,Used,62898,Carhaven,13999
Ford,F-150,2014,Used,39065,Carhaven,16999
Maserati,GranTurismo,2018,Used,24660,Carhaven,65000
Mitsubishi,Outlander,2015,Used,41535,Carhaven,14699
Ferrari,California,2012,Used,34123,Carhaven,85000
Mitsubishi,Outlander,2015,Used,59470,Carhaven,13999
Ford,Focus,2016,Used,42400,Carhaven,13499
Mitsubishi,Outlander,2015,Used,38243,Carhaven,13999
Chevrolet,Tahoe,2013,Used,45893,Carhaven,23500
Ford,Police Interceptor,2017,Used,79884,Carhaven,10999
Chevrolet,Cruze,2017,Used,47815,Carhaven,14999
Ford,Police Interceptor,2018,Used,69112,Carhaven,11999
Dodge,Charger,2016,Used,58904,Carhaven,18499
Ford,F-150,2014,Used,20495,Carhaven,20999
Chevrolet,LS,2019,Used,62157,Carhaven,33500
RAM,1500,2012,Used,24527,Carhaven,15499
Dodge,Charger,2016,Used,24885,Carhaven,18999
Mitsubishi,Outlander,2015,Used,45664,Carhaven,15999
Buick,Verano,2017,Used,22842,Carhaven,16999
Chevrolet,Silverado,2015,Used,13072,Carhaven,20500
Mercedes,AMG E53,2019,Certified,23163,Mercedes-Benz of State College,54301
Kia,GT,2023,New,,Johnson Kia Annapolis,55641
Kia,Sportage,2023,New,,Johnson Kia Annapolis,29570
Kia,LX,2023,New,,Johnson Kia Annapolis,17880
Kia,GT,2024,New,,Johnson Kia Annapolis,31035
Lamborghini,Huracan,2016,Used,10357,Porsche Annapolis,211488
Toyota,Tacoma,2018,Used,57157,Johnson Kia Annapolis,28953
Porsche,911,2021,Certified,10697,Porsche Annapolis,246999
Kia,Sorento,2023,New,,Johnson Kia Annapolis,44485
Kia,EV6,2023,New,,Johnson Kia Annapolis,48959
Kia,Telluride,2023,New,,Johnson Kia Annapolis,50851
Kia,Telluride,2023,New,,Johnson Kia Annapolis,50366
Kia,Telluride,2024,New,,Johnson Kia Annapolis,44770
Kia,Sportage,2023,New,,Johnson Kia Annapolis,29965
Kia,Telluride,2024,New,,Johnson Kia Annapolis,38400
Kia,Sorento,2023,New,,Johnson Kia Annapolis,39104
Hyundai,Venue,2023,New,,Gateway Chevrolet,24965
Dodge,Challenger,2010,Used,84543,Blaise Alexander Hyundai,20988
Toyota,Tacoma,2020,Used,34743,Blaise Alexander Hyundai,35988
Jeep,Gladiator,2023,New,,Corwin Chrysler Dodge Jeep Ram,44980
Toyota,Camry,2023,New,,Corwin Toyota of Fargo,32106
Audi,S5,2023,New,,"Criswell in Annapolis, MD",65200
Audi,Q7,2023,New,,"Criswell in Annapolis, MD",79535
Acura,TLX,2023,New,,"Criswell in Annapolis, MD",50595
Acura,Integra,2024,New,,"Criswell in Annapolis, MD",52595
Audi,Q5,2023,New,,"Criswell in Annapolis, MD",62340
Toyota,GR86,2023,New,,Koons Annapolis Toyota,37768
Toyota,GR86,2023,New,,Koons Annapolis Toyota,40150
Toyota,Sienna,2023,New,,Koons Annapolis Toyota,60458
Genesis,GV80,2024,New,,Annapolis Hyundai,79350
Dodge,Challenger,2023,New,,Heritage Chrysler Jeep Dodge RAM Owings Mills,69015
Hyundai,Kona,2024,New,,Len Stoler Hyundai,34000
Hyundai,Palisade,2024,New,,Len Stoler Hyundai,55080
Hyundai,Kona,2023,New,,Len Stoler Hyundai,38500
Hyundai,Santa Cruz,2024,New,,Len Stoler Hyundai,41499
Hyundai,Palisade,2024,New,,Len Stoler Hyundai,52130
Hyundai,Santa Fe,2023,New,,Len Stoler Hyundai,36500
Chevrolet,Silverado,2024,New,,Heritage Chevrolet Buick Owings Mills,66988
Chevrolet,Tahoe,2023,New,,J.B.A. Chevrolet,84665
Toyota,Tacoma,2020,Certified,60367,Safford Brown Toyota Glen Burnie,34750
Toyota,Tundra,2024,New,,Safford Brown Toyota Glen Burnie,75238
Toyota,4Runner,2021,Certified,64198,Safford Brown Toyota Glen Burnie,30758
Toyota,GR86,2023,New,,Safford Brown Toyota Glen Burnie,34692
BMW,X7,2024,New,,BMW of Owings Mills,88940
BMW,Coupe,2024,New,,BMW of Owings Mills,70325
Honda,Accord,2023,New,,Honda of Owings Mills,
Honda,Accord,2023,New,,Honda of Owings Mills,
Lincoln,Navigator,2019,Used,54516,Blaise Alexander Chrysler-Jeep-Dodge-RAM,46988
BMW,X4,2016,Used,82749,Blaise Alexander Chrysler-Jeep-Dodge-RAM,22988
Ford,Mustang,2021,Used,15134,Blaise Alexander Chrysler-Jeep-Dodge-RAM,36000
Jeep,Wagoneer,2023,New,,Blaise Alexander Chrysler-Jeep-Dodge-RAM,69590
Lexus,GX,2021,Used,36412,Sheehy INFINITI of Annapolis,43700
BMW,530 i,2023,New,,BMW MINI of Annapolis,61735
BMW,530 i,2023,New,,BMW MINI of Annapolis,59885
BMW,530 i,2023,New,,BMW MINI of Annapolis,72200
BMW,Coupe,2024,New,,BMW MINI of Annapolis,119105
Volvo,XC40,2023,New,,Volvo Cars Annapolis,62545
BMW,XM,2023,New,,BMW of Towson,163395
Infiniti,QX80,2023,New,,Nationwide INFINITI,77698
Audi,Q3,2023,Certified,9850,Audi Hunt Valley,36377
Mercedes,GLE,2024,New,,Mercedes-Benz of Hunt Valley,76375
Audi,Q7,2023,New,,Audi Hunt Valley,82015
Mercedes,GLA,2023,New,,Mercedes-Benz of Hunt Valley,47135
Mercedes,GLA,2023,New,,Mercedes-Benz of Hunt Valley,46675
Audi,Q7,2023,New,,Audi Hunt Valley,66400
Mercedes,GLA,2023,New,,Mercedes-Benz of Hunt Valley,44625
Mercedes,GLE,2024,New,,Mercedes-Benz of Hunt Valley,68545
Mercedes,300,2023,New,,Mercedes-Benz of Hunt Valley,66300
RAM,1500,2023,New,,Ourisman Chrysler Dodge Jeep Ram of Baltimore,125289
Dodge,GT,2023,New,,Ourisman Chrysler Dodge Jeep Ram of Baltimore,37085
RAM,1500,2023,New,,Ourisman Chrysler Dodge Jeep Ram of Baltimore,41564
RAM,CLA,2023,New,,Ourisman Chrysler Dodge Jeep Ram of Baltimore,33333
Acura,TLX,2023,New,,AutoNation Acura Hunt Valley,57545
Acura,Integra,2024,New,,AutoNation Acura Hunt Valley,34695
Land Rover,Defender,2023,New,,Jaguar Land Rover of Hunt Valley,89160
Land Rover,Defender,2023,New,,Jaguar Land Rover of Hunt Valley,104475
Hyundai,Palisade,2023,New,,Thompson Hyundai,50762
Honda,Pilot,2023,New,,Norris Auto Group,46075
Honda,Passport,2023,New,,Norris Auto Group,44945
Honda,Accord,2023,New,,Norris Auto Group,38985
Acura,TL,2012,Used,50426,"Bay Motors, Inc",16990
Chevrolet,Camaro,2023,New,,Jerry's Chevrolet,
Chevrolet,Colorado,2023,New,,Jerry's Chevrolet,29007
Honda,Accord,2023,New,,Heritage Honda,30160
Honda,Accord,2024,New,,Heritage Honda,33005
Honda,Accord,2024,New,,Heritage Honda,30990
Honda,Accord,2024,New,,Heritage Honda,33005
Honda,Accord,2024,New,,Heritage Honda,33005
Honda,Accord,2024,New,,Heritage Honda,33005
Honda,Odyssey,2023,New,,Heritage Honda,52995
Honda,Ridgeline,2023,New,,Heritage Honda,44955
Jeep,Wrangler,2023,New,,Heritage Chrysler Jeep Dodge RAM Parkville,95775
Toyota,RAV4,2023,New,,Jerry's Toyota,44774
Toyota,GR86,2023,New,,Jerry's Toyota,32516
Toyota,GR86,2023,New,,Jerry's Toyota,29996
Toyota,GR86,2023,New,,Jerry's Toyota,34446
Ford,Bronco,2023,New,,Bob Ruth Ford,57000
Honda,Accord,2023,New,,Hertrich Honda Kia of Easton,30705
Chevrolet,Tahoe,2023,New,,Koons Chevrolet of White Marsh,82500
